Province_State,Confirmed,Deceased,Recovered,Date
Rhode Island,17312,976,1685.0,07-12-2020
South Carolina,56648,961,20957.0,07-12-2020
South Dakota,7499,109,6522.0,07-12-2020
Tennessee,61960,741,35855.0,07-12-2020
Texas,262762,3216,132638.0,07-12-2020
Utah,29484,215,17303.0,07-12-2020
Vermont,1296,56,1089.0,07-12-2020
Virgin Islands,181,6,93.0,07-12-2020
Virginia,70670,1966,9310.0,07-12-2020
Washington,40656,1438,,07-12-2020
West Virginia,4244,96,2806.0,07-12-2020
Wisconsin,36448,820,28318.0,07-12-2020
Wyoming,1862,21,1372.0,07-12-2020
Alabama,5079,163,,04-20-2020
Alaska,321,9,161.0,04-20-2020
American Samoa,0,0,,04-20-2020
Arizona,5068,191,1155.0,04-20-2020
Arkansas,1973,41,749.0,04-20-2020
California,33686,1225,,04-20-2020
Colorado,9730,420,,04-20-2020
Connecticut,19815,1331,,04-20-2020
Delaware,2745,72,495.0,04-20-2020
Diamond Princess,49,0,0.0,04-20-2020
District of Columbia,2927,105,630.0,04-20-2020
Florida,27059,822,,04-20-2020
Georgia,19407,775,,04-20-2020
Grand Princess,103,0,0.0,04-20-2020
Guam,136,5,112.0,04-20-2020
Hawaii,584,10,414.0,04-20-2020
Idaho,1672,45,585.0,04-20-2020
Illinois,31513,1349,,04-20-2020
Indiana,11688,577,,04-20-2020
Iowa,3159,79,1235.0,04-20-2020
Kansas,2048,102,,04-20-2020
Kentucky,3050,154,1174.0,04-20-2020
Louisiana,24523,1328,,04-20-2020
Maine,875,35,414.0,04-20-2020
Maryland,13684,582,917.0,04-20-2020
Massachusetts,38077,1706,,04-20-2020
Michigan,32000,2468,3237.0,04-20-2020
Minnesota,2470,143,1202.0,04-20-2020
Mississippi,4512,169,,04-20-2020
Missouri,5890,200,,04-20-2020
Montana,433,10,243.0,04-20-2020
Nebraska,1648,33,,04-20-2020
Nevada,3830,159,,04-20-2020
New Hampshire,1447,42,521.0,04-20-2020
New Jersey,88722,4496,,04-20-2020
New Mexico,1971,58,487.0,04-20-2020
New York,253060,18611,23887.0,04-20-2020
North Carolina,6895,218,,04-20-2020
North Dakota,627,9,189.0,04-20-2020
Northern Mariana Islands,14,2,11.0,04-20-2020
Ohio,12919,509,,04-20-2020
Oklahoma,2680,143,1614.0,04-20-2020
Oregon,1957,75,,04-20-2020
Pennsylvania,33914,1348,,04-20-2020
Puerto Rico,1252,63,,04-20-2020
Rhode Island,5090,155,267.0,04-20-2020
South Carolina,4446,123,2063.0,04-20-2020
South Dakota,1685,7,709.0,04-20-2020
Tennessee,7238,152,3575.0,04-20-2020
Texas,19751,507,5706.0,04-20-2020
Utah,3213,28,776.0,04-20-2020
Vermont,816,38,15.0,04-20-2020
Virgin Islands,53,3,48.0,04-20-2020
Virginia,8990,300,1324.0,04-20-2020
Washington,12114,643,,04-20-2020
West Virginia,902,24,290.0,04-20-2020
Wisconsin,4499,230,,04-20-2020
Wyoming,317,2,233.0,04-20-2020
Recovered,0,0,72329.0,04-20-2020
Alabama,30021,839,15974.0,06-21-2020
Alaska,752,12,475.0,06-21-2020
American Samoa,0,0,,06-21-2020
Arizona,52591,1349,7387.0,06-21-2020
Arkansas,15561,225,10082.0,06-21-2020
California,178546,5515,,06-21-2020
Colorado,30524,1647,4309.0,06-21-2020
Connecticut,45755,4260,7842.0,06-21-2020
Delaware,10775,435,6459.0,06-21-2020
Diamond Princess,49,0,,06-21-2020
District of Columbia,10020,533,1172.0,06-21-2020
Florida,97291,3161,,06-21-2020
Georgia,64701,2643,,06-21-2020
Grand Princess,103,3,,06-21-2020
Guam,222,5,173.0,06-21-2020
Hawaii,814,17,644.0,06-21-2020
Idaho,4006,89,3305.0,06-21-2020
Illinois,136762,6647,,06-21-2020
Indiana,42423,2540,31302.0,06-21-2020
Iowa,25963,686,16068.0,06-21-2020
Kansas,12136,257,715.0,06-21-2020
Kentucky,13750,526,3530.0,06-21-2020
Louisiana,49778,3105,37017.0,06-21-2020
Maine,2957,102,2391.0,06-21-2020
Maryland,64306,3066,4773.0,06-21-2020
Massachusetts,107061,7857,,06-21-2020
Michigan,67711,6090,49290.0,06-21-2020
Minnesota,32920,1412,28663.0,06-21-2020
Mississippi,20641,938,15323.0,06-21-2020
Missouri,18459,965,,06-21-2020
Montana,717,20,548.0,06-21-2020
Nebraska,17812,244,11565.0,06-21-2020
Nevada,13240,487,652.0,06-21-2020
New Hampshire,5544,339,4244.0,06-21-2020
New Jersey,169142,12939,29450.0,06-21-2020
New Mexico,10565,469,4684.0,06-21-2020
New York,387936,31125,69506.0,06-21-2020
North Carolina,52801,1223,29219.0,06-21-2020
North Dakota,3288,77,2910.0,06-21-2020
Northern Mariana Islands,30,2,19.0,06-21-2020
Ohio,44808,2700,,06-21-2020
Oklahoma,10516,369,7531.0,06-21-2020
Oregon,6572,188,2533.0,06-21-2020
Pennsylvania,85935,6423,62932.0,06-21-2020
Puerto Rico,6525,149,,06-21-2020
Rhode Island,16337,894,1515.0,06-21-2020
South Carolina,24661,653,10790.0,06-21-2020
South Dakota,6297,81,5389.0,06-21-2020
Tennessee,35102,526,23067.0,06-21-2020
Texas,112944,2191,68499.0,06-21-2020
Utah,17462,158,9659.0,06-21-2020
Vermont,1159,56,922.0,06-21-2020
Virgin Islands,76,6,64.0,06-21-2020
Virginia,57994,1611,7646.0,06-21-2020
Washington,28680,1270,,06-21-2020
West Virginia,2533,89,1676.0,06-21-2020
Wisconsin,24819,744,19310.0,06-21-2020
Wyoming,1197,20,909.0,06-21-2020
Alabama,20043,689,11395.0,06-06-2020
Alaska,535,10,382.0,06-06-2020
American Samoa,0,0,,06-06-2020
Arizona,25451,1043,5399.0,06-06-2020
Arkansas,9101,154,6266.0,06-06-2020
California,128593,4607,,06-06-2020
Colorado,27834,1527,4055.0,06-06-2020
Connecticut,43818,4055,7284.0,06-06-2020
Delaware,9845,390,5696.0,06-06-2020
Diamond Princess,49,0,,06-06-2020
District of Columbia,9269,483,1138.0,06-06-2020
Florida,62758,2688,,06-06-2020
Georgia,51359,2178,,06-06-2020
Grand Princess,103,3,,06-06-2020
Guam,179,5,162.0,06-06-2020
Hawaii,673,17,614.0,06-06-2020
Idaho,3139,83,2408.0,06-06-2020
Illinois,126890,5864,,06-06-2020
Indiana,36997,2292,24729.0,06-06-2020
Iowa,21478,599,12715.0,06-06-2020
Kansas,10361,233,612.0,06-06-2020
Kentucky,11287,470,3344.0,06-06-2020
Louisiana,42486,2925,31728.0,06-06-2020
Maine,2524,98,1845.0,06-06-2020
Maryland,57482,2740,4175.0,06-06-2020
Massachusetts,103132,7289,,06-06-2020
Michigan,64229,5894,42041.0,06-06-2020
Minnesota,27501,1181,22253.0,06-06-2020
Mississippi,17039,811,11203.0,06-06-2020
Missouri,14951,815,,06-06-2020
Montana,540,18,472.0,06-06-2020
Nebraska,15572,187,7957.0,06-06-2020
Nevada,9491,437,522.0,06-06-2020
New Hampshire,5019,283,3319.0,06-06-2020
New Jersey,163893,12106,27641.0,06-06-2020
New Mexico,8800,392,3206.0,06-06-2020
New York,377316,30280,67261.0,06-06-2020
North Carolina,34718,1028,18860.0,06-06-2020
North Dakota,2816,72,2268.0,06-06-2020
Northern Mariana Islands,26,17,16.0,06-06-2020
Ohio,38111,2372,,06-06-2020
Oklahoma,7059,347,5867.0,06-06-2020
Oregon,4570,161,2237.0,06-06-2020
Pennsylvania,79505,5931,52560.0,06-06-2020
Puerto Rico,4915,142,,06-06-2020
Rhode Island,15441,772,1336.0,06-06-2020
South Carolina,13453,539,7347.0,06-06-2020
South Dakota,5367,65,4273.0,06-06-2020
Tennessee,26177,417,17124.0,06-06-2020
Texas,74470,1833,48895.0,06-06-2020
Utah,11798,121,6939.0,06-06-2020
Vermont,1046,55,888.0,06-06-2020
Virgin Islands,71,6,62.0,06-06-2020
Virginia,49397,1461,6382.0,06-06-2020
Washington,23442,1153,,06-06-2020
West Virginia,2136,84,1446.0,06-06-2020
Wisconsin,20571,645,13770.0,06-06-2020
Wyoming,939,17,757.0,06-06-2020
Alabama,65234,1286,29736.0,07-18-2020
Alaska,1796,18,708.0,07-18-2020
American Samoa,0,0,,07-18-2020
Arizona,141265,2730,17661.0,07-18-2020
Arkansas,32533,357,24776.0,07-18-2020
California,380745,7702,,07-18-2020
Colorado,39770,1752,4927.0,07-18-2020
Connecticut,47893,4396,8466.0,07-18-2020
Delaware,13429,523,7362.0,07-18-2020
Diamond Princess,49,0,,07-18-2020
District of Columbia,11194,578,1877.0,07-18-2020
Florida,337569,4895,,07-18-2020
Georgia,139880,3169,,07-18-2020
Grand Princess,103,3,,07-18-2020
Guam,314,5,222.0,07-18-2020
Hawaii,1354,24,994.0,07-18-2020
Idaho,14303,119,3827.0,07-18-2020
Illinois,161785,7483,,07-18-2020
Indiana,55654,2820,40722.0,07-18-2020
Iowa,38313,789,27820.0,07-18-2020
Kansas,21693,308,983.0,07-18-2020
Kentucky,22184,667,6824.0,07-18-2020
Louisiana,88590,3509,53288.0,07-18-2020
Maine,3645,117,3136.0,07-18-2020
Maryland,77206,3368,5344.0,07-18-2020
Massachusetts,113238,8419,95390.0,07-18-2020
Michigan,81338,6364,55162.0,07-18-2020
Minnesota,45470,1578,39310.0,07-18-2020
Mississippi,41846,1346,25932.0,07-18-2020
Missouri,32704,1136,,07-18-2020
Montana,2471,37,1075.0,07-18-2020
Nebraska,22481,301,16665.0,07-18-2020
Nevada,34477,646,842.0,07-18-2020
New Hampshire,6188,396,5188.0,07-18-2020
New Jersey,176814,15699,31400.0,07-18-2020
New Mexico,16736,569,6654.0,07-18-2020
New York,406305,32478,72064.0,07-18-2020
North Carolina,98092,1648,67124.0,07-18-2020
North Dakota,4907,90,4029.0,07-18-2020
Northern Mariana Islands,37,2,29.0,07-18-2020
Ohio,73821,3132,50280.0,07-18-2020
Oklahoma,25057,451,19186.0,07-18-2020
Oregon,14149,257,3225.0,07-18-2020
Pennsylvania,104780,7015,76183.0,07-18-2020
Puerto Rico,11453,178,,07-18-2020
Rhode Island,17793,990,1717.0,07-18-2020
South Carolina,67612,1135,23849.0,07-18-2020
South Dakota,7862,116,6891.0,07-18-2020
Tennessee,76336,838,43706.0,07-18-2020
Texas,327106,3939,169581.0,07-18-2020
Utah,33332,243,20421.0,07-18-2020
Vermont,1338,56,1125.0,07-18-2020
Virgin Islands,283,6,133.0,07-18-2020
Virginia,76373,2025,9976.0,07-18-2020
Washington,46026,1444,,07-18-2020
West Virginia,4894,100,3295.0,07-18-2020
Wisconsin,41485,843,32004.0,07-18-2020
Wyoming,2108,24,1611.0,07-18-2020
Alabama,15650,580,7951.0,05-26-2020
Alaska,410,10,362.0,05-26-2020
American Samoa,0,0,,05-26-2020
Arizona,16864,810,4297.0,05-26-2020
Arkansas,6180,119,4332.0,05-26-2020
California,99387,3819,,05-26-2020
Colorado,24552,1352,3702.0,05-26-2020
Connecticut,41303,3769,7127.0,05-26-2020
Delaware,9066,335,4802.0,05-26-2020
Diamond Princess,49,0,,05-26-2020
District of Columbia,8334,440,1080.0,05-26-2020
Florida,52255,2259,,05-26-2020
Georgia,43983,1896,,05-26-2020
Grand Princess,103,3,,05-26-2020
Guam,167,5,139.0,05-26-2020
Hawaii,643,17,592.0,05-26-2020
Idaho,2626,79,1755.0,05-26-2020
Illinois,113195,4923,,05-26-2020
Indiana,32078,2004,,05-26-2020
Iowa,17703,477,9791.0,05-26-2020
Kansas,9199,210,493.0,05-26-2020
Kentucky,8951,394,3102.0,05-26-2020
Louisiana,38054,2702,28700.0,05-26-2020
Maine,2109,79,1318.0,05-26-2020
Maryland,47687,2333,3334.0,05-26-2020
Massachusetts,93693,6473,,05-26-2020
Michigan,55104,5266,33168.0,05-26-2020
Minnesota,21960,908,15523.0,05-26-2020
Mississippi,13731,652,9401.0,05-26-2020
Missouri,12579,693,,05-26-2020
Montana,479,17,441.0,05-26-2020
Nebraska,12619,147,,05-26-2020
Nevada,8057,394,374.0,05-26-2020
New Hampshire,4231,214,2434.0,05-26-2020
New Jersey,155764,11194,25384.0,05-26-2020
New Mexico,7130,325,2522.0,05-26-2020
New York,363836,29302,64443.0,05-26-2020
North Carolina,24455,801,14954.0,05-26-2020
North Dakota,2422,54,1701.0,05-26-2020
Northern Mariana Islands,22,2,13.0,05-26-2020
Ohio,33006,2002,,05-26-2020
Oklahoma,6138,318,4823.0,05-26-2020
Oregon,3967,148,1795.0,05-26-2020
Pennsylvania,72778,5163,41868.0,05-26-2020
Puerto Rico,3324,129,,05-26-2020
Rhode Island,14210,634,1158.0,05-26-2020
South Carolina,10416,446,6102.0,05-26-2020
South Dakota,4653,50,3528.0,05-26-2020
Tennessee,20895,343,13344.0,05-26-2020
Texas,57230,1546,36375.0,05-26-2020
Utah,8620,101,5346.0,05-26-2020
Vermont,967,54,848.0,05-26-2020
Virgin Islands,69,6,61.0,05-26-2020
Virginia,39342,1236,5227.0,05-26-2020
Washington,20181,1078,,05-26-2020
West Virginia,1774,72,1180.0,05-26-2020
Wisconsin,15863,517,9405.0,05-26-2020
Wyoming,850,13,607.0,05-26-2020
Alabama,12086,489,,05-18-2020
Alaska,388,10,345.0,05-18-2020
American Samoa,0,0,,05-18-2020
Arizona,14208,687,3570.0,05-18-2020
Arkansas,4813,100,3645.0,05-18-2020
California,81457,3279,,05-18-2020
Colorado,22202,1224,3346.0,05-18-2020
Connecticut,38116,3450,6264.0,05-18-2020
Delaware,7869,297,3545.0,05-18-2020
Diamond Princess,49,0,,05-18-2020
District of Columbia,7270,392,1028.0,05-18-2020
Florida,46442,1997,,05-18-2020
Georgia,38283,1649,,05-18-2020
Grand Princess,103,3,,05-18-2020
Guam,154,5,126.0,05-18-2020
Hawaii,640,17,573.0,05-18-2020
Idaho,2455,74,1612.0,05-18-2020
Illinois,96485,4234,,05-18-2020
Indiana,28255,1765,,05-18-2020
Iowa,14955,355,7324.0,05-18-2020
Kansas,8303,198,465.0,05-18-2020
Kentucky,7935,346,2768.0,05-18-2020
Louisiana,34709,2563,26249.0,05-18-2020
Maine,1713,71,1053.0,05-18-2020
Maryland,39762,2023,2817.0,05-18-2020
Massachusetts,87052,5862,,05-18-2020
Michigan,51915,4915,28234.0,05-18-2020
Minnesota,16372,740,10764.0,05-18-2020
Mississippi,11432,527,7681.0,05-18-2020
Missouri,11242,611,,05-18-2020
Montana,470,16,434.0,05-18-2020
Nebraska,10625,123,,05-18-2020
Nevada,7061,358,355.0,05-18-2020
New Hampshire,3652,172,1268.0,05-18-2020
New Jersey,148240,10439,23496.0,05-18-2020
New Mexico,6096,270,1755.0,05-18-2020
New York,351371,28339,61681.0,05-18-2020
North Carolina,19207,693,11637.0,05-18-2020
North Dakota,1931,44,1219.0,05-18-2020
Northern Mariana Islands,21,2,12.0,05-18-2020
Ohio,28454,1657,,05-18-2020
Oklahoma,5398,288,4008.0,05-18-2020
Oregon,3687,138,1406.0,05-18-2020
Pennsylvania,66669,4515,,05-18-2020
Puerto Rico,2710,124,,05-18-2020
Rhode Island,12795,506,1012.0,05-18-2020
South Carolina,8942,391,5076.0,05-18-2020
South Dakota,4027,44,2784.0,05-18-2020
Tennessee,18011,301,9886.0,05-18-2020
Texas,49177,1350,28371.0,05-18-2020
Utah,7384,80,4183.0,05-18-2020
Vermont,940,54,815.0,05-18-2020
Virgin Islands,69,6,61.0,05-18-2020
Virginia,31140,1015,4107.0,05-18-2020
Washington,18611,1002,,05-18-2020
West Virginia,1502,68,919.0,05-18-2020
Wisconsin,12687,459,6786.0,05-18-2020
Wyoming,766,10,498.0,05-18-2020
Alabama,55545,1124,25783.0,07-13-2020
Alaska,1539,17,620.0,07-13-2020
American Samoa,0,0,,07-13-2020
Arizona,123824,2246,15254.0,07-13-2020
Arkansas,28939,323,22106.0,07-13-2020
California,333357,7089,,07-13-2020
Colorado,37218,1727,4780.0,07-13-2020
Connecticut,47510,4371,8351.0,07-13-2020
Delaware,12879,517,7139.0,07-13-2020
Diamond Princess,49,0,,07-13-2020
District of Columbia,10906,568,1756.0,07-13-2020
Florida,282435,4277,,07-13-2020
Georgia,120572,3026,,07-13-2020
Grand Princess,103,3,,07-13-2020
Guam,312,5,202.0,07-13-2020
Hawaii,1243,22,890.0,07-13-2020
Idaho,11404,102,3179.0,07-13-2020
Illinois,155931,7394,,07-13-2020
Indiana,52037,2762,38914.0,07-13-2020
Iowa,35631,755,26664.0,07-13-2020
Kansas,19645,298,920.0,07-13-2020
Kentucky,19653,629,5344.0,07-13-2020
Louisiana,79827,3423,46334.0,07-13-2020
Maine,3558,114,3008.0,07-13-2020
Maryland,73527,3325,5230.0,07-13-2020
Massachusetts,111827,8330,94347.0,07-13-2020
Michigan,77198,6321,53867.0,07-13-2020
Minnesota,42772,1542,37199.0,07-13-2020
Mississippi,36680,1250,25932.0,07-13-2020
Missouri,28289,1105,,07-13-2020
Montana,1843,32,875.0,07-13-2020
Nebraska,21399,288,15860.0,07-13-2020
Nevada,28515,593,789.0,07-13-2020
New Hampshire,6068,391,5027.0,07-13-2020
New Jersey,175522,15560,31261.0,07-13-2020
New Mexico,15291,548,6322.0,07-13-2020
New York,402263,32395,71643.0,07-13-2020
North Carolina,87669,1529,67124.0,07-13-2020
North Dakota,4442,87,3653.0,07-13-2020
Northern Mariana Islands,33,2,19.0,07-13-2020
Ohio,66853,3064,45194.0,07-13-2020
Oklahoma,20746,424,15815.0,07-13-2020
Oregon,12438,237,3094.0,07-13-2020
Pennsylvania,100330,6911,73721.0,07-13-2020
Puerto Rico,10010,167,,07-13-2020
Rhode Island,17487,984,1691.0,07-13-2020
South Carolina,58168,972,20957.0,07-13-2020
South Dakota,7524,109,6543.0,07-13-2020
Tennessee,65274,749,36996.0,07-13-2020
Texas,269778,3276,136419.0,07-13-2020
Utah,30030,216,17728.0,07-13-2020
Vermont,1301,56,1096.0,07-13-2020
Virgin Islands,206,6,96.0,07-13-2020
Virginia,71642,1968,9330.0,07-13-2020
Washington,41757,1399,,07-13-2020
West Virginia,4313,97,2825.0,07-13-2020
Wisconsin,36942,820,28670.0,07-13-2020
Wyoming,1903,21,1372.0,07-13-2020
Alabama,5317,183,,04-21-2020
Alaska,329,9,168.0,04-21-2020
American Samoa,0,0,,04-21-2020
Arizona,5256,208,1155.0,04-21-2020
Arkansas,1990,42,809.0,04-21-2020
California,35465,1282,,04-21-2020
Colorado,10473,483,,04-21-2020
Connecticut,20360,1423,,04-21-2020
Delaware,2931,82,565.0,04-21-2020
Diamond Princess,49,0,0.0,04-21-2020
District of Columbia,3098,112,636.0,04-21-2020
Florida,27869,867,,04-21-2020
Georgia,19881,798,,04-21-2020
Grand Princess,103,0,0.0,04-21-2020
Guam,136,5,114.0,04-21-2020
Hawaii,586,10,423.0,04-21-2020
Idaho,1736,48,660.0,04-21-2020
Illinois,33059,1468,,04-21-2020
Indiana,12097,635,,04-21-2020
Iowa,3641,83,1293.0,04-21-2020
Kansas,2164,109,,04-21-2020
Kentucky,3204,171,1174.0,04-21-2020
Louisiana,24854,1405,,04-21-2020
Maine,888,36,443.0,04-21-2020
Maryland,14193,652,930.0,04-21-2020
Massachusetts,41199,1961,,04-21-2020
Michigan,32667,2575,3237.0,04-21-2020
Minnesota,2567,160,1254.0,04-21-2020
Mississippi,4716,183,,04-21-2020
Missouri,6066,224,,04-21-2020
Montana,437,12,273.0,04-21-2020
Nebraska,1685,33,,04-21-2020
Nevada,3937,163,,04-21-2020
New Hampshire,1490,42,521.0,04-21-2020
New Jersey,92387,4753,,04-21-2020
New Mexico,1971,58,501.0,04-21-2020
New York,258361,19104,23887.0,04-21-2020
North Carolina,7134,245,,04-21-2020
North Dakota,644,13,214.0,04-21-2020
Northern Mariana Islands,14,2,11.0,04-21-2020
Ohio,13725,557,,04-21-2020
Oklahoma,2807,164,1702.0,04-21-2020
Oregon,2004,78,,04-21-2020
Pennsylvania,35249,1614,,04-21-2020
Puerto Rico,1298,64,,04-21-2020
Rhode Island,5500,171,315.0,04-21-2020
South Carolina,4439,124,2063.0,04-21-2020
South Dakota,1755,8,824.0,04-21-2020
Tennessee,7394,157,3828.0,04-21-2020
Texas,20574,533,6486.0,04-21-2020
Utah,3297,32,888.0,04-21-2020
Vermont,818,40,1710.0,04-21-2020
Virgin Islands,53,3,48.0,04-21-2020
Virginia,9630,324,1418.0,04-21-2020
Washington,12392,664,,04-21-2020
West Virginia,908,26,330.0,04-21-2020
Wisconsin,4625,244,,04-21-2020
Wyoming,443,2,237.0,04-21-2020
Recovered,0,0,75204.0,04-21-2020
Alabama,26912,785,13508.0,06-16-2020
Alaska,675,12,429.0,06-16-2020
American Samoa,0,0,,06-16-2020
Arizona,39185,1228,6598.0,06-16-2020
Arkansas,13191,188,8352.0,06-16-2020
California,158961,5200,,06-16-2020
Colorado,29427,1617,4196.0,06-16-2020
Connecticut,45349,4210,7611.0,06-16-2020
Delaware,10403,424,6256.0,06-16-2020
Diamond Princess,49,0,,06-16-2020
District of Columbia,9818,520,1155.0,06-16-2020
Florida,80109,2993,,06-16-2020
Georgia,59078,2529,,06-16-2020
Grand Princess,103,3,,06-16-2020
Guam,186,5,169.0,06-16-2020
Hawaii,736,17,630.0,06-16-2020
Idaho,3462,88,2877.0,06-16-2020
Illinois,133639,6398,,06-16-2020
Indiana,40786,2447,29093.0,06-16-2020
Iowa,24179,665,15025.0,06-16-2020
Kansas,11411,246,676.0,06-16-2020
Kentucky,12647,505,3431.0,06-16-2020
Louisiana,47706,3042,37017.0,06-16-2020
Maine,2819,101,2233.0,06-16-2020
Maryland,62409,2982,4579.0,06-16-2020
Massachusetts,105885,7664,,06-16-2020
Michigan,66269,6034,44964.0,06-16-2020
Minnesota,30882,1344,27006.0,06-16-2020
Mississippi,20152,915,15323.0,06-16-2020
Missouri,16857,891,,06-16-2020
Montana,614,19,535.0,06-16-2020
Nebraska,17038,231,10351.0,06-16-2020
Nevada,11683,467,640.0,06-16-2020
New Hampshire,5364,326,4041.0,06-16-2020
New Jersey,167426,12792,28872.0,06-16-2020
New Mexico,9933,447,4160.0,06-16-2020
New York,384575,30909,68938.0,06-16-2020
North Carolina,45907,1169,29219.0,06-16-2020
North Dakota,3124,74,2720.0,06-16-2020
Northern Mariana Islands,30,2,19.0,06-16-2020
Ohio,42010,2599,,06-16-2020
Oklahoma,8645,363,6765.0,06-16-2020
Oregon,6098,182,2431.0,06-16-2020
Pennsylvania,83978,6276,59612.0,06-16-2020
Puerto Rico,5951,147,,06-16-2020
Rhode Island,16164,865,1479.0,06-16-2020
South Carolina,19990,607,9734.0,06-16-2020
South Dakota,5966,77,5069.0,06-16-2020
Tennessee,31751,493,20710.0,06-16-2020
Texas,93569,2049,60681.0,06-16-2020
Utah,14937,145,8470.0,06-16-2020
Vermont,1131,55,914.0,06-16-2020
Virgin Islands,72,6,64.0,06-16-2020
Virginia,55331,1570,7341.0,06-16-2020
Washington,26531,1231,,06-16-2020
West Virginia,2341,88,1636.0,06-16-2020
Wisconsin,23198,703,17122.0,06-16-2020
Wyoming,1089,18,852.0,06-16-2020
Alabama,78130,1456,32510.0,07-25-2020
Alaska,2339,20,815.0,07-25-2020
American Samoa,0,0,,07-25-2020
Arizona,160041,3286,20566.0,07-25-2020
Arkansas,37981,399,29827.0,07-25-2020
California,446452,8408,,07-25-2020
Colorado,43771,1794,5133.0,07-25-2020
Connecticut,48776,4413,8516.0,07-25-2020
Delaware,14175,579,7961.0,07-25-2020
Diamond Princess,49,0,,07-25-2020
District of Columbia,11717,581,9603.0,07-25-2020
Florida,414511,5777,,07-25-2020
Georgia,165188,3494,,07-25-2020
Grand Princess,103,3,,07-25-2020
Guam,337,5,244.0,07-25-2020
Hawaii,1620,26,1148.0,07-25-2020
Idaho,17265,144,5251.0,07-25-2020
Illinois,171122,7589,,07-25-2020
Indiana,61520,2895,43535.0,07-25-2020
Iowa,41886,826,29477.0,07-25-2020
Kansas,25009,329,1077.0,07-25-2020
Kentucky,26764,696,7421.0,07-25-2020
Louisiana,103734,3715,61456.0,07-25-2020
Maine,3790,119,3281.0,07-25-2020
Maryland,83054,3433,5434.0,07-25-2020
Massachusetts,115268,8510,96452.0,07-25-2020
Michigan,85622,6400,55162.0,07-25-2020
Minnesota,50291,1611,43625.0,07-25-2020
Mississippi,50981,1478,30315.0,07-25-2020
Missouri,41034,1200,,07-25-2020
Montana,3259,46,1977.0,07-25-2020
Nebraska,24395,316,17999.0,07-25-2020
Nevada,41816,732,994.0,07-25-2020
New Hampshire,6415,409,5438.0,07-25-2020
New Jersey,178858,15776,32061.0,07-25-2020
New Mexico,18788,607,7156.0,07-25-2020
New York,411200,32608,72632.0,07-25-2020
North Carolina,111421,1811,78707.0,07-25-2020
North Dakota,5736,99,4671.0,07-25-2020
Northern Mariana Islands,40,2,29.0,07-25-2020
Ohio,83184,3297,57731.0,07-25-2020
Oklahoma,30081,496,24053.0,07-25-2020
Oregon,16104,282,3541.0,07-25-2020
Pennsylvania,111115,7124,79968.0,07-25-2020
Puerto Rico,14540,201,,07-25-2020
Rhode Island,18224,1002,1769.0,07-25-2020
South Carolina,80008,1465,29378.0,07-25-2020
South Dakota,8305,122,7307.0,07-25-2020
Tennessee,90796,964,53808.0,07-25-2020
Texas,390286,4990,221510.0,07-25-2020
Utah,37623,274,24390.0,07-25-2020
Vermont,1396,56,1182.0,07-25-2020
Virgin Islands,352,7,236.0,07-25-2020
Virginia,83609,2075,10800.0,07-25-2020
Washington,51849,1494,,07-25-2020
West Virginia,5775,103,4115.0,07-25-2020
Wisconsin,47870,891,37287.0,07-25-2020
Wyoming,2446,25,1866.0,07-25-2020
Alabama,7088,272,0.0,04-30-2020
Alaska,355,9,252.0,04-30-2020
American Samoa,0,0,0.0,04-30-2020
Arizona,7655,320,1499.0,04-30-2020
Arkansas,3281,61,1305.0,04-30-2020
California,50130,2031,0.0,04-30-2020
Colorado,15284,777,2415.0,04-30-2020
Connecticut,27700,2257,0.0,04-30-2020
Delaware,4734,152,1275.0,04-30-2020
Diamond Princess,49,0,0.0,04-30-2020
District of Columbia,4323,224,660.0,04-30-2020
Florida,33690,1268,0.0,04-30-2020
Georgia,26264,1132,0.0,04-30-2020
Grand Princess,103,3,0.0,04-30-2020
Guam,145,5,131.0,04-30-2020
Hawaii,618,16,516.0,04-30-2020
Idaho,1984,60,1121.0,04-30-2020
Illinois,52918,2355,0.0,04-30-2020
Indiana,17835,1114,0.0,04-30-2020
Iowa,7145,162,2697.0,04-30-2020
Kansas,4413,134,272.0,04-30-2020
Kentucky,4708,240,1668.0,04-30-2020
Louisiana,28001,1905,17303.0,04-30-2020
Maine,1095,53,631.0,04-30-2020
Maryland,21742,1140,1432.0,04-30-2020
Massachusetts,62205,3562,0.0,04-30-2020
Michigan,41379,3789,8342.0,04-30-2020
Minnesota,5136,343,2172.0,04-30-2020
Mississippi,6815,261,3413.0,04-30-2020
Missouri,7818,350,0.0,04-30-2020
Montana,453,16,392.0,04-30-2020
Nebraska,4281,70,0.0,04-30-2020
Nevada,5053,243,158.0,04-30-2020
New Hampshire,2146,72,980.0,04-30-2020
New Jersey,118652,7228,15642.0,04-30-2020
New Mexico,3411,123,734.0,04-30-2020
New York,304372,23587,54771.0,04-30-2020
North Carolina,10754,406,0.0,04-30-2020
North Dakota,1067,19,458.0,04-30-2020
Northern Mariana Islands,14,2,12.0,04-30-2020
Ohio,18027,976,0.0,04-30-2020
Oklahoma,3618,222,2401.0,04-30-2020
Oregon,2510,103,0.0,04-30-2020
Pennsylvania,47971,2475,0.0,04-30-2020
Puerto Rico,1539,92,0.0,04-30-2020
Rhode Island,8621,266,461.0,04-30-2020
South Carolina,6095,244,3252.0,04-30-2020
South Dakota,2449,17,1573.0,04-30-2020
Tennessee,10735,199,5140.0,04-30-2020
